student_id,behaviour_record
454,Needs Support
455,Excellent
456,Good
457,Good
458,Excellent
459,Excellent
460,Good
461,Good
462,Needs Support
463,Needs Support
464,Excellent
465,Good
466,Needs Support
467,Good
468,Needs Support
469,Good
470,Excellent
471,Needs Support
472,Needs Support
473,Good
474,Good
475,Excellent
476,Needs Support
477,Good
478,Good
479,Excellent
480,Good
481,Good
482,Excellent
483,Good
484,Excellent
485,Excellent
486,Good
487,Good
488,Good
489,Good
490,Good
491,Good
492,Good
493,Good
494,Needs Support
495,Excellent
496,Good
497,Excellent
498,Needs Support
499,Good
500,Good
501,Good
502,Good
503,Good
504,Good
505,Needs Support
506,Excellent
507,Good
508,Good
509,Good
510,Needs Support
511,Needs Support
512,Needs Support
513,Good
514,Good
515,Excellent
516,Needs Support
517,Excellent
518,Good
519,Excellent
520,Good
521,Good
522,Excellent
523,Needs Support
524,Good
525,Good
526,Good
527,Good
528,Good
529,Good
530,Needs Support
531,Needs Support
532,Excellent
533,Excellent
534,Good
535,Good
536,Good
537,Excellent
538,Good
539,Good
540,Needs Support
541,Needs Support
542,Good
543,Excellent
544,Excellent
545,Good
546,Needs Support
547,Excellent
548,Good
549,Good
550,Good
551,Good
552,Good
553,Needs Support
554,Excellent
555,Good
556,Needs Support
557,Excellent
558,Good
559,Excellent
560,Good
561,Good
562,Good
563,Good
564,Excellent
565,Good
566,Good
567,Good
568,Good
569,Needs Support
570,Good
571,Good
572,Excellent
573,Excellent
574,Needs Support
575,Good
576,Excellent
577,Good
578,Good
579,Good
580,Excellent
581,Good
582,Excellent
583,Needs Support
584,Good
585,Good
586,Good
587,Needs Support
588,Good
589,Needs Support
590,Good
591,Excellent
592,Good
593,Good
594,Good
595,Good
596,Needs Support
597,Good
598,Good
599,Good
600,Good
601,Excellent
602,Good
603,Needs Support
604,Good
605,Excellent
606,Needs Support
607,Good
608,Good
609,Good
610,Needs Support
611,Good
612,Excellent
613,Good
614,Good
615,Good
616,Good
617,Good
618,Good
619,Needs Support
620,Good
621,Good
622,Excellent
623,Needs Support
624,Excellent
625,Good
626,Good
627,Needs Support
628,Good
629,Good
630,Good
631,Good
632,Good
633,Good
634,Good
635,Needs Support
636,Good
637,Good
638,Good
639,Excellent
640,Good
641,Excellent
642,Needs Support
643,Excellent
644,Excellent
645,Good
646,Good
647,Needs Support
648,Excellent
649,Excellent
650,Needs Support
651,Good
652,Good
653,Excellent
654,Excellent
655,Excellent
656,Excellent
657,Needs Support
658,Excellent
659,Needs Support
660,Good
661,Excellent
662,Excellent
663,Good
664,Excellent
665,Needs Support
666,Excellent
667,Needs Support
668,Good
669,Needs Support
670,Excellent
671,Good
672,Good
673,Excellent
674,Excellent
675,Good
676,Excellent
677,Needs Support
678,Good
679,Excellent
680,Good
681,Good
682,Excellent
683,Good
684,Good
685,Good
686,Good
687,Excellent
688,Good
689,Good
690,Good
691,Good
692,Good
693,Needs Support
694,Needs Support
695,Good
696,Excellent
697,Excellent
698,Good
699,Good
700,Needs Support
701,Excellent
702,Good
703,Good
704,Good
705,Good
706,Good
707,Good
